,Date,Finish,Length,Length(km),Race_ID,Stage#,Stage_Name,Stage_Type,Start,url
2302,2015-06-26,Zilina,38.6,,1031,0,National Championships Czech Republic - ITT 2015,PRL,Zilina,race/nc-czech-republic-itt/2015
2303,2015-06-26,Zilina,38.6,,1032,0,National Championships Czech Republic U23 - ITT 2015,PRL,Zilina,race/nc-czech-republic-u23-itt/2015
2304,2015-06-26,Einhausen,45.0,,1033,0,National Championships Germany - ITT 2015,PRL,Einhausen,race/nc-germany-itt/2015
2305,2015-06-26,Nauplie,38.0,,1034,0,National Championships Greece - ITT 2015,PRL,Nauplie,race/nc-greece-itt/2015
2306,2015-06-26,Dobele,35.0,,1035,0,National Championships Latvia - ITT 2015,PRL,Dobele,race/nc-latvia-itt/2015
2307,2015-06-26,Ignalina,31.0,,1036,0,National Championships Lithuania - ITT 2015,PRL,Ignalina,race/nc-lithuania-itt/2015
2308,2015-06-26,Saransk,56.0,,1037,0,National Championships Russia - ITT 2015,PRL,Saransk,race/nc-russia-itt/2015
2309,2015-06-26,Erdevik,30.0,,1038,0,National Championships Serbia - ITT 2015,PRL,Erdevik,race/nc-serbia-itt/2015
2310,2015-06-26,Zilina,38.6,,1039,0,National Championships Slovakia - ITT 2015,PRL,Zilina,race/nc-slovakia2/2015
2311,2015-06-26,Caceres,45.5,,1040,0,National Championships Spain - ITT 2015,PRL,Caceres,race/nc-spain-itt/2015
2312,2015-06-26,Karaman,130.0,,1041,0,National Championships Turkey - Road Race 2015,PRL,Karaman,race/nc-turkey/2015
2313,2015-06-26,Tarashcha,41.6,,1042,0,National Championships Ukraine - ITT 2015,PRL,Tarashcha,race/nc-ukraine-itt/2015
2314,2015-06-26,Tirana,30.0,,1043,0,National Championships Albania U23 - ITT 2015,PRL,Tirana,race/nc-albania-u23-itt/2015
2315,2015-06-26,Narovlia,36.3,,1044,0,National Championships Belarus U23 - ITT 2015,PRL,Narovlia,race/nc-belarus-u23-itt/2015
2316,2015-06-26,Bensheim-Einhausen,0.0,,1045,0,National Championships Germany U23 - ITT 2015,PRL,Bensheim-Einhausen,race/nc-germany-u23-itt/2015
2317,2015-06-26,Dobele,35.2,,1046,0,National Championships Latvia U23 - ITT 2015,PRL,Dobele,race/nc-latvia-u23-itt/2015
2318,2015-06-26,Braga,27.0,,1047,0,National Championships Portugal U23 - ITT 2015,PRL,Braga,race/nc-portugal-u23-itt/2015
2319,2015-06-26,Saransk,28.0,,1048,0,National Championships Russia U23 - ITT 2015,PRL,Saransk,race/nc-russia-u23-itt/2015
2320,2015-06-26,Erdevik,0.0,,1049,0,National Championships Serbia U23 - ITT 2015,PRL,Erdevik,race/nc-serbia-u23-itt/2015
2321,2015-06-26,Zilina,38.6,,1050,0,National Championships Slovakia U23 - ITT 2015,PRL,Zilina,race/nc-slovakia-u23-itt/2015
2322,2015-06-26,Caceres,26.0,,1051,0,National Championships Spain U23 - ITT 2015,PRL,Caceres,race/nc-spain-itt-u23/2015
2323,2015-06-26,Boguslav,35.6,,1052,0,National Championships Ukraine U23 - ITT 2015,PRL,Boguslav,race/nc-ukraine-u23-itt/2015
2324,2015-06-27,Pazardzhik,37.0,,1053,0,National Championships Bulgaria - ITT 2015,PRL,Pazardzhik,race/nc-bulgaria-itt/2015
2325,2015-06-27,Sibenik,28.5,,1054,0,National Championships Croatia - ITT 2015,PRL,Sibenik,race/nc-croatia-itt/2015
2326,2015-06-27,Mtskheta,30.0,,1055,0,National Championships Georgia - ITT 2015,PRL,Tbilisi,race/nc-georgia-itt/2015
2327,2015-06-27,Superga,219.0,,1056,0,National Championships Italy - Road Race 2015,PRL,Legnano,race/nc-italy/2015
2328,2015-06-27,Cimislia,30.0,,1057,0,National Championships Moldova - ITT 2015,PRL,Chisinau,race/nc-moldova-itt/2015
2329,2015-06-27,Miercurea Ciuc,28.4,,1058,0,National Championships Romania - ITT 2015,PRL,Miercurea Ciuc,race/nc-romania-itt/2015
2330,2015-06-27,Miercurea Ciuc,28.4,,1059,0,National Championships Romania U23 - ITT 2015,PRL,Miercurea Ciuc,race/nc-romania-u23-itt/2015
2331,2015-06-27,Emmen,170.3,,1060,0,National Championships Netherlands U23 - Road Race 2015,PRL,Emmen,race/nc-netherlands-u23/2015
2332,2015-06-27,Sobotka,180.0,,1061,0,National Championships Poland U23 - Road Race 2015,PRL,Sobotka,race/nc-poland-u23/2015
2333,2015-06-27,Braga,144.9,,1062,0,National Championships Portugal U23 - Road Race 2015,PRL,Braga,race/nc-portugal-u23/2015
2334,2015-06-27,Saransk,163.2,,1063,0,National Championships Russia U23 - Road Race 2015,PRL,Saransk,race/nc-russia-u23/2015
2335,2015-06-27,Caceres,150.0,,1064,0,National Championships Spain U23 - Road Race 2015,PRL,Caceres,race/nc-spain-u23/2015
2336,2015-06-27,Tarashcha,0.0,,1065,0,National Championships Ukraine U23 - Road Race 2015,PRL,Tarashcha,race/nc-ukraine-u23/2015
2337,2015-06-28,Braga,177.1,,1066,0,National Championships  Portugal - Road Race 2015,PRL,Braga,race/nc-portugal2/2015
2338,2015-06-28,Peqin,130.0,,1067,0,National Championships Albania - Road Race 2015,PRL,Tirana,race/nc-albania/2015
2339,2015-06-28,Finish,194.0,,1068,0,National Championships Austria - Road Race 2015,PRL,Start,race/nc-austria/2015
